#At time x allocated y bytes for process z from i to j
At time 1 allocated 128 bytes for process 1 from 0 to 127
At time 10 allocated 220 bytes for process 2 from 256 to 511
At time 16 allocated 96 bytes for process 3 from 128 to 255
At time 23 allocated 58 bytes for process 4 from 512 to 575
At time 25 freed 128 bytes for process 1 from 0 to 127
At time 27 allocated 4 bytes for process 5 from 0 to 3
At time 35 allocated 40 bytes for process 6 from 64 to 127
At time 52 freed 40 bytes for process 6 from 64 to 127
At time 61 freed 4 bytes for process 5 from 0 to 3
At time 62 freed 220 bytes for process 2 from 256 to 511
At time 72 freed 96 bytes for process 3 from 128 to 255
At time 83 freed 58 bytes for process 4 from 512 to 575
